nro;cod_ied_N;nomb_ied;d_dreugel;cod_mod;nivel;;;;
;;;;0615047;EBR PRIMARIA;;;;
;;;;0621755;EBR SECUNDARIA;;;;
258;05185221;KHIPU;UGEL CUSCO;0815175;IST;;;;
259;05185221;KHIPU;UGEL CUSCO;0815175;IST;;;;
260;06806864;JUAN PABLO II;UGEL CUSCO;1727528;EBR INICIAL;;;;
261;02761051;50454;UGEL CUSCO;0409300;EBR PRIMARIA;;;;
262;06802648;DULCE HOGAR CUSCO S.A.C;UGEL CUSCO;1722255;EBR INICIAL;;;;
263;06212018;SAN ANTONIO ABAD;UGEL CUSCO;1322601;EBR INICIAL;;;;
;;;;0235085;EBR PRIMARIA;;;;
;;;;0236695;EBR SECUNDARIA;;;;
264;06923437;1359;UGEL CUSCO;1744366;EBR INICIAL;;;;
265;02763291;CESAR VALLEJO;UGEL CUSCO;0409565;EBR PRIMARIA;;;;
;;;;0927871;EBR SECUNDARIA;;;;
266;05101565;GUADALUPE;UGEL CUSCO;1268507;EBR INICIAL;;;;
;;;;0818310;EBR PRIMARIA;;;;
;;;;0928291;EBR SECUNDARIA;;;;
267;06121012;RAYITOS DE ALEGRIA;UGEL CUSCO;1649680;EBR INICIAL;;;;
268;06065740;PLAY SCHOOL;UGEL CUSCO;1352244;EBR INICIAL;;;;
269;02803887;50868 FERNANDO TUPAC AMARU;UGEL CUSCO;0785071;EBR PRIMARIA;;;;
270;02624281;452;UGEL CUSCO;0699611;EBR INICIAL;;;;
271;06722466;VIRGEN DEL CARMEN;UGEL CUSCO;1664135;CETPRO;;;;
272;02713871;501260;UGEL CUSCO;1712702;EBR INICIAL;;;;
;;;;0928762;EBR PRIMARIA;;;;
273;05750849;MEGATRACTORS;UGEL CUSCO;1393727;CETPRO;;;;
274;02639548;464;UGEL CUSCO;0403956;EBR INICIAL;;;;
275;02817179;51004 SAN VICENTE DE PAUL;UGEL CUSCO;0205948;EBR PRIMARIA;;;;
;;;;1322593;EBR SECUNDARIA;;;;
276;02645981;469;UGEL CUSCO;0500264;EBR INICIAL;;;;
277;02613621;443 NIÑO JESUS;UGEL CUSCO;0565416;EBR INICIAL;;;;
278;06735665;VIRGEN ROSARIO;UGEL CUSCO;1387067;EBR SECUNDARIA;;;;
279;05422825;JUAN PABLO II;UGEL CUSCO;0404830;EBR INICIAL;;;;
280;06111114;RAICES;UGEL CUSCO;1399468;EBR INICIAL;;;;
281;06985637;SEBASTIAN DE LOS REYES;UGEL CUSCO;1753649;EBR INICIAL;;;;
282;00898880;166 VIRGEN DEL CARMEN;UGEL CUSCO;0730523;EBR INICIAL;;;;
283;06050638;PESTALOZZI;UGEL CUSCO;1370469;EBR INICIAL;;;;
;;;;1370477;EBR PRIMARIA;;;;
;;;;1370485;EBR SECUNDARIA;;;;
284;05879078;NIÑO CIENTIFICO;UGEL CUSCO;1434901;EBR INICIAL;;;;
285;06617514;TIEMPO DE CRECER;UGEL CUSCO;1662121;EBR INICIAL;;;;
286;02813521;50966;UGEL CUSCO;1681865;EBR INICIAL;;;;
;;;;0591453;EBR PRIMARIA;;;;
287;05205107;INFOTUR;UGEL CUSCO;1387208;CETPRO;;;;
288;05458978;KINDER LAND;UGEL CUSCO;1386655;EBR INICIAL;;;;
289;05792843;MI SEGUNDA CASITA;UGEL CUSCO;1405182;EBR INICIAL;;;;
290;05165830;HUMBERTO VIDAL UNDA;UGEL CUSCO;0557033;EBR PRIMARIA;;;;
;;;;0536516;EBR SECUNDARIA;;;;
291;05184800;ANTONIO RAYMONDI;UGEL CUSCO;0815191;IST;;;;
292;06661807;URPI;UGEL CUSCO;1269547;EBR INICIAL;;;;
293;06097197;PUKLLASUNCHIS;UGEL CUSCO;0772723;EBR INICIAL;;;;
;;;;0929034;EBR PRIMARIA;;;;
;;;;0928358;EBR SECUNDARIA;;;;
294;02631296;458;UGEL CUSCO;0404020;EBR INICIAL;;;;
295;04590570;CARRION;UGEL CUSCO;1639277;EBR SECUNDARIA;;;;
296;06961959;SONRISITAS;UGEL CUSCO;1749928;EBR INICIAL;;;;
297;03474011;699;UGEL CUSCO;0616136;EBR INICIAL;;;;
298;06841422;HIJOS DEL SOL;UGEL CUSCO;1730225;EBR INICIAL;;;;
299;04333421;ABRAHAM LINCOLN;UGEL CUSCO;1200302;EBR INICIAL;;;;
;;;;0927574;EBR PRIMARIA;;;;
;;;;0928440;EBR SECUNDARIA;;;;
;;;;1386887;EBA INICIAL-INTERMEDIO;;;;
;;;;1386119;EBA AVANZADO;;;;
300;80000036;ABRAHAM LINCOLN;UGEL CUSCO;1386150;CETPRO;;;;
301;01199821;202;UGEL CUSCO;0731059;EBR INICIAL;;;;
302;05812496;MILAGRITOS DE JESUS;UGEL CUSCO;1372267;EBR INICIAL;;;;
303;04635396;CECATEC;UGEL CUSCO;1200096;CETPRO;;;;
304;02626675;454;UGEL CUSCO;0520759;EBR INICIAL;;;;
305;04561295;CAMINITO DEL PERU;UGEL CUSCO;1405158;EBR INICIAL;;;;
;;;;1405166;EBR PRIMARIA;;;;
306;04561783;CAMINITO DEL PERU;UGEL CUSCO;0928739;EBR INICIAL;;;;
307;05194059;INCA GARCILASO DE LA VEGA;UGEL CUSCO;0206110;EBR PRIMARIA;;;;
;;;;0233056;EBR SECUNDARIA;;;;
;;;;0235457;EBA INICIAL-INTERMEDIO;;;;
;;;;0236794;EBA AVANZADO;;;;
308;80000086;INCA GARCILASO DE LA VEGA;UGEL CUSCO;0519785;CETPRO;;;;
309;05687829;MARIA DE LA MERCED;UGEL CUSCO;0406751;EBR PRIMARIA;;;;
;;;;0579177;EBR SECUNDARIA;;;;
310;05215595;INMACULADA CONCEPCION;UGEL CUSCO;1328483;EBR INICIAL;;;;
;;;;1328491;EBR PRIMARIA;;;;
;;;;1328509;EBR SECUNDARIA;;;;
;;;;1201771;EBA AVANZADO;;;;
311;02492431;417 SAN BORJA;UGEL CUSCO;0927384;EBR INICIAL;;;;
312;01322907;210;UGEL CUSCO;0731174;EBR INICIAL;;;;
313;06257641;SAN GABRIEL;UGEL CUSCO;1468743;EBR PRIMARIA;;;;
;;;;1468750;EBR SECUNDARIA;;;;
314;06257641;SAN GABRIEL;UGEL CUSCO;1468735;EBR INICIAL;;;;
315;04475089;APRENDIENDO A CRECER;UGEL CUSCO;1386291;EBR INICIAL;;;;
316;05889219;NIÑO JESUS;UGEL CUSCO;0565390;EBR INICIAL;;;;
317;00885266;165 BURBUJITAS;UGEL CUSCO;0730507;EBR INICIAL;;;;
318;00503029;114;UGEL CUSCO;0586099;EBR INICIAL;;;;
319;02614952;IEI 444;UGEL CUSCO;1060961;EBR INICIAL;;;;
320;05777267;MI PARAISO;UGEL CUSCO;1060813;EBR INICIAL;;;;
321;04755820;SAN ISIDRO LABRADOR-COMPUTECCIA;UGEL CUSCO;1062330;EBA AVANZADO;;;;
322;80000057;SAN ISIDRO LABRADOR-COMPUTECCIA;UGEL CUSCO;1386747;CETPRO;;;;
323;04755901;COMPUTECSA;UGEL CUSCO;1386036;CETPRO;;;;
324;02767090;50513;UGEL CUSCO;0409888;EBR PRIMARIA;;;;
325;02820129;51037;UGEL CUSCO;0615070;EBR PRIMARIA;;;;
326;02794896;50780 SOL RADIANTE;UGEL CUSCO;0486613;EBR INICIAL;;;;
;;;;0205559;EBR PRIMARIA;;;;
327;06558781;SISICHAKUNAQ YACHAYNIN;UGEL CUSCO;1347327;EBR INICIAL;;;;
328;02811472;50944;UGEL CUSCO;0573766;EBR PRIMARIA;;;;
329;06072186;PORTIKOS;UGEL CUSCO;1452853;EBR INICIAL;;;;
;;;;1695451;EBR PRIMARIA;;;;
330;05844258;MONTESSORI DEL CUSCO;UGEL CUSCO;1387224;EBR PRIMARIA;;;;
;;;;1536259;EBR SECUNDARIA;;;;
331;80000472;MONTESSORI DEL CUSCO;UGEL CUSCO;1386374;EBR INICIAL;;;;
332;00484628;1123;UGEL CUSCO;1615103;EBR INICIAL;;;;
333;05429935;JUAN TOMAS TUYRO TÚPAC INCA;UGEL CUSCO;0207712;CETPRO;;;;
334;04876520;DIVINO JESUS;UGEL CUSCO;1642164;EBR INICIAL;;;;
;;;;1201219;EBR PRIMARIA;;;;
335;05713153;MARIA ROSA MISTICA;UGEL CUSCO;1420793;EBR INICIAL;;;;
336;05477451;LA CASITA DE MARIA;UGEL CUSCO;1692227;EBR INICIAL;;;;
337;06663885;VALENTIN PANIAGUA CORAZAO;UGEL CUSCO;0205997;EBR PRIMARIA;;;;
338;00871559;164 SEÑOR DE LOS MILAGROS;UGEL CUSCO;0730499;EBR INICIAL;;;;
339;02637154;462;UGEL CUSCO;0671511;EBR INICIAL;;;;
340;02005506;332;UGEL CUSCO;0927509;EBR INICIAL;;;;
341;02688476;50014 TANKARPATA;UGEL CUSCO;1644053;EBR INICIAL;;;;
;;;;0404996;EBR PRIMARIA;;;;
342;05100658;GROWING UP;UGEL CUSCO;1568021;EBR INICIAL;;;;
343;01350617;216;UGEL CUSCO;0731125;EBR INICIAL;;;;
344;06280651;SAN JOSE DE PRAGA;UGEL CUSCO;1386895;EBR INICIAL;;;;
;;;;1386903;EBR PRIMARIA;;;;
345;06015425;PASTORCITOS DE FATIMA;UGEL CUSCO;1386804;EBR INICIAL;;;;
;;;;1387356;EBR PRIMARIA;;;;
346;01149008;194 ARAHUAY;UGEL CUSCO;0730978;EBR INICIAL;;;;
347;06728731;VIRGEN DEL ROSARIO;UGEL CUSCO;1643261;EBR INICIAL;;;;
;;;;1643279;EBR PRIMARIA;;;;
348;01339427;214;UGEL CUSCO;0731117;EBR INICIAL;;;;
349;01668501;302;UGEL CUSCO;0734996;EBR INICIAL;;;;
350;01224999;204 MARIA MONTESSORI;UGEL CUSCO;0731075;EBR INICIAL;;;;
351;06099823;PURISUNCHIS;UGEL CUSCO;1060730;EBR INICIAL;;;;
;;;;1386390;EBA INICIAL-INTERMEDIO;;;;
;;;;1386408;EBA AVANZADO;;;;
352;06832431;SAN JOSÉ PATRIARCA;UGEL CUSCO;1390145;EBR INICIAL;;;;
353;04329716;ABACO - CUSCO;UGEL CUSCO;1200856;IST;;;;
354;05446848;JUSTO BARRIONUEVO ALVAREZ;UGEL CUSCO;1543552;EBR INICIAL;;;;
;;;;0409748;EBR PRIMARIA;;;;
;;;;0929638;EBR SECUNDARIA;;;;
355;02705958;501187;UGEL CUSCO;0735027;EBR PRIMARIA;;;;
356;06305253;SAN JUAN DE DIOS-A;UGEL CUSCO;1736222;EBE INICIAL;;;;
;;;;1060524;EBE PRIMARIA;;;;
357;06475523;SANTIAGO APOSTOL;UGEL CUSCO;0927608;EBR PRIMARIA;;;;
;;;;1269943;EBR SECUNDARIA;;;;
358;04780574;CORONEL LEONCIO PRADO;UGEL CUSCO;1200138;EBR INICIAL;;;;
;;;;1200120;EBR PRIMARIA;;;;
;;;;1399476;EBR SECUNDARIA;;;;
359;05977576;OLIMPICO PERUANO;UGEL CUSCO;0818120;EBR PRIMARIA;;;;
;;;;0928200;EBR SECUNDARIA;;;;
360;05528445;LAS FLORES;UGEL CUSCO;0927806;EBR INICIAL;;;;
361;05610923;SAGRADA FAMILIA;UGEL CUSCO;1304336;EBR INICIAL;;;;
362;04525817;BELLAS ARTES DIEGO QUISPE TITO;UGEL CUSCO;1062439;ESFA;;;;
363;04525817;BELLAS ARTES DIEGO QUISPE TITO;UGEL CUSCO;1062439;ESFA;;;;
364;05605083;LOS PATRIOTAS;UGEL CUSCO;1642321;EBR INICIAL;;;;
;;;;1642339;EBR PRIMARIA;;;;
365;05520185;LARAPA KINDER;UGEL CUSCO;1387166;EBR INICIAL;;;;
366;05880874;NI¥O DE PRAGA;UGEL CUSCO;0486555;EBR INICIAL;;;;
367;06702163;VIRGEN DE FATIMA;UGEL CUSCO;1387174;EBR INICIAL;;;;
368;02794977;50781;UGEL CUSCO;1681824;EBR INICIAL;;;;
;;;;0205567;EBR PRIMARIA;;;;
369;06985556;I.E.I.P. HAPPY KIDS;UGEL CUSCO;1753631;EBR INICIAL;;;;
370;04563271;CAMINO NUEVO;UGEL CUSCO;1736321;EBE INICIAL;;;;
;;;;1387240;EBE PRIMARIA;;;;
371;05597579;LOS LEONCITOS;UGEL CUSCO;1386960;EBR INICIAL;;;;
;;;;1700145;EBR PRIMARIA;;;;
372;05678757;MARIA ANGOLA;UGEL CUSCO;1386309;EBR PRIMARIA;;;;
;;;;1386192;EBR SECUNDARIA;;;;
373;06758274;YO SOY EL CAMINO;UGEL CUSCO;1452861;EBR INICIAL;;;;
374;06058991;PIO ROSARIO NUÑEZ DEL PRADO;UGEL CUSCO;0404871;EBR INICIAL;;;;
;;;;1465905;EBR PRIMARIA;;;;
375;02820870;51045;UGEL CUSCO;0615138;EBR PRIMARIA;;;;
;;;;1370360;EBR SECUNDARIA;;;;
376;02736721;50219;UGEL CUSCO;0407064;EBR PRIMARIA;;;;
377;02819074;51023 SAN LUIS GONZAGA;UGEL CUSCO;1681642;EBR INICIAL;;;;
;;;;0206227;EBR PRIMARIA;;;;
;;;;1386432;EBR SECUNDARIA;;;;
378;04497856;AUGUSTO SALAZAR BONDY;UGEL CUSCO;0404889;EBR INICIAL;;;;
379;05096618;GRAN MARISCAL ANDRES AVELINO CACERES;UGEL CUSCO;0406793;EBR PRIMARIA;;;;
380;05096618;GRAN MARISCAL ANDRES AVELINO CACERES;UGEL CUSCO;0927814;EBR SECUNDARIA;;;;
381;05714303;MARIA TRINIDAD ENRIQUEZ;UGEL CUSCO;0403964;EBR INICIAL;;;;
382;02690357;50043;UGEL CUSCO;0405274;EBR PRIMARIA;;;;
383;02495163;419 COLIBRI;UGEL CUSCO;0671818;EBR INICIAL;;;;
384;04876601;DIVINO JESUS;UGEL CUSCO;1386416;EBR INICIAL;;;;
;;;;1386424;EBR PRIMARIA;;;;
385;02644657;468;UGEL CUSCO;0403998;EBR INICIAL;;;;
386;04334825;ABRAHAM VALDELOMAR;UGEL CUSCO;1726256;EBA INICIAL-INTERMEDIO;;;;
;;;;1200351;EBA AVANZADO;;;;
387;06101216;QORIKANCHA;UGEL CUSCO;1399419;EBR INICIAL;;;;
;;;;1399427;EBR PRIMARIA;;;;
;;;;1399435;EBR SECUNDARIA;;;;
;;;;1653534;EBA AVANZADO;;;;
388;04694376;CHASKA;UGEL CUSCO;0928259;EBR INICIAL;;;;
389;02811219;50941;UGEL CUSCO;1681816;EBR INICIAL;;;;
;;;;0573436;EBR PRIMARIA;;;;
390;06380646;SAN TARCISIO;UGEL CUSCO;1386325;EBR PRIMARIA;;;;
;;;;1386978;EBR SECUNDARIA;;;;
391;05934753;NUESTRA SEÑORA DEL CARMEN;UGEL CUSCO;1736230;EBE INICIAL;;;;
;;;;0519884;EBE PRIMARIA;;;;
392;06014844;PASITOS;UGEL CUSCO;0933911;EBR INICIAL;;;;
393;05775280;MI NIÑO JESUS;UGEL CUSCO;1201045;EBR INICIAL;;;;
394;02763117;50480;UGEL CUSCO;0409557;EBR PRIMARIA;;;;
395;06848524;GOTITAS DE MIEL;UGEL CUSCO;1731538;EBR INICIAL;;;;
396;05842018;MONTEVERDE;UGEL CUSCO;1393719;EBR PRIMARIA;;;;
;;;;1639285;EBR SECUNDARIA;;;;
397;05490480;LA INMACULADA;UGEL CUSCO;1399450;EBR INICIAL;;;;
;;;;1399443;EBR PRIMARIA;;;;
;;;;1386176;EBR SECUNDARIA;;;;
398;05479509;LA CATOLICA DEL PACIFICO;UGEL CUSCO;1323880;EBR PRIMARIA;;;;
;;;;1354711;EBR SECUNDARIA;;;;
399;06661076;URIEL GARCIA;UGEL CUSCO;0497651;EBR PRIMARIA;;;;
;;;;0236174;EBR SECUNDARIA;;;;
;;;;0235481;EBA INICIAL-INTERMEDIO;;;;
;;;;0622621;EBA AVANZADO;;;;
400;02687550;50007;UGEL CUSCO;0404939;EBR PRIMARIA;;;;
401;03407861;65;UGEL CUSCO;0671834;EBR INICIAL;;;;
402;05964377;NUEVO HORIZONTE;UGEL CUSCO;0928432;EBR INICIAL;;;;
403;05734691;MARTINCITO;UGEL CUSCO;1268069;EBR INICIAL;;;;
;;;;1399393;EBA INICIAL-INTERMEDIO;;;;
;;;;1399385;EBA AVANZADO;;;;
404;06644333;INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO PUBLICO TUPAC AMARU;UGEL CUSCO;0481127;IST;;;;
405;06076971;PRINCETON;UGEL CUSCO;1387182;CETPRO;;;;
406;06240313;SAN FERNANDO;UGEL CUSCO;0625525;EBR INICIAL;;;;
407;06240313;SAN FERNANDO;UGEL CUSCO;0934091;EBR PRIMARIA;;;;
;;;;1386606;EBR SECUNDARIA;;;;
408;06421407;SANTA MARIA DE LOS ANDES;UGEL CUSCO;1387109;EBR INICIAL;;;;
;;;;1324656;EBR PRIMARIA;;;;
;;;;1755024;EBR SECUNDARIA;;;;
409;06111378;RAIMONDI;UGEL CUSCO;1354729;EBR SECUNDARIA;;;;
410;06111378;RAIMONDI;UGEL CUSCO;1420801;EBR PRIMARIA;;;;
411;05615976;LUCESITAS;UGEL CUSCO;1201573;EBR INICIAL;;;;
412;02632446;459 - 51070 BARRIO DE DIOS;UGEL CUSCO;0626796;EBR INICIAL;;;;
;;;;0671552;EBR PRIMARIA;;;;
413;05252954;URIEL GARCIA;UGEL CUSCO;0934158;ISP;;;;
414;02028042;334;UGEL CUSCO;0775403;EBR INICIAL;;;;
415;06052533;PIAGETANO;UGEL CUSCO;1201086;EBR INICIAL;;;;
416;05910080;NUESTRA SEÑORA DE FATIMA;UGEL CUSCO;1644020;EBR INICIAL;;;;
;;;;0235010;EBR PRIMARIA;;;;
;;;;1386168;EBR SECUNDARIA;;;;
417;04534158;BERTRAND RUSSELL;UGEL CUSCO;1387372;EBR PRIMARIA;;;;
;;;;1387380;EBR SECUNDARIA;;;;
418;05077567;GENOMATEC;UGEL CUSCO;1201011;CETPRO;;;;
419;05065925;GALILEO;UGEL CUSCO;1062314;EBR PRIMARIA;;;;
;;;;1323856;EBR SECUNDARIA;;;;
420;06686737;VILLA CARMEN;UGEL CUSCO;1332774;EBR INICIAL;;;;
421;05578681;LOS ANDES;UGEL CUSCO;0932525;CETPRO;;;;
422;04317009;982;UGEL CUSCO;1615343;EBR INICIAL;;;;
423;06425208;SANTA MARIA GORETTI;UGEL CUSCO;1201136;EBR INICIAL;;;;
;;;;1201102;EBR PRIMARIA;;;;
;;;;1386143;EBR SECUNDARIA;;;;
424;80000238;SANTA MARIA GORETTI;UGEL CUSCO;1698885;CETPRO;;;;
425;04531752;BERNABE COBO - APLICACION;UGEL CUSCO;1269026;EBR INICIAL;;;;
;;;;1269067;EBR PRIMARIA;;;;
;;;;1269109;EBR SECUNDARIA;;;;
426;04531833;BERNABE COBO 2;UGEL CUSCO;1386549;EBR INICIAL;;;;
;;;;1386556;EBR PRIMARIA;;;;
;;;;1386564;EBR SECUNDARIA;;;;
427;05249007;BERNABE COBO;UGEL CUSCO;0933168;ISP;;;;
428;02817251;51006 TUPAC AMARU;UGEL CUSCO;0205989;EBR PRIMARIA;;;;
;;;;1370378;EBR SECUNDARIA;;;;
;;;;1360965;EBA AVANZADO;;;;
429;04956974;EL PRINCIPITO;UGEL CUSCO;1386523;EBR INICIAL;;;;
430;05536510;INSTITUTO DE FINANZAS Y COMERCIO;UGEL CUSCO;1385509;IST;;;;
431;05531802;LAS MERCEDES;UGEL CUSCO;0235069;EBR PRIMARIA;;;;
;;;;0236760;EBR SECUNDARIA;;;;
432;05560683;LIDERES;UGEL CUSCO;1370402;EBR PRIMARIA;;;;
;;;;1329465;EBR SECUNDARIA;;;;
433;06678084;VICTOR RAUL HAYA DE LA TORRE;UGEL CUSCO;0730515;EBR SECUNDARIA;;;;
434;04897994;DOMINGO SAVIO;UGEL CUSCO;1200393;EBR INICIAL;;;;
;;;;1200401;EBR PRIMARIA;;;;
;;;;1200419;EBR SECUNDARIA;;;;
;;;;1269422;EBA AVANZADO;;;;
435;02609681;439 NIÑOS DE AMERICA;UGEL CUSCO;0403915;EBR INICIAL;;;;
436;05651761;MAMANCHISWAN PURISUNCHIS;UGEL CUSCO;1465947;EBR INICIAL;;;;
;;;;1465954;EBR PRIMARIA;;;;
437;04480351;ARCO IRIS-A;UGEL CUSCO;0933622;ISP;;;;
438;06789048;JOSE ANTONIO ENCINAS;UGEL CUSCO;1726348;EBA INICIAL-INTERMEDIO;;;;
;;;;1637073;EBA AVANZADO;;;;
439;05238781;INTEROCEANICO;UGEL CUSCO;1702240;IST;;;;
440;06556884;SION;UGEL CUSCO;1522754;EBR INICIAL;;;;
;;;;1522762;EBR PRIMARIA;;;;
;;;;1522770;EBR SECUNDARIA;;;;
441;05013879;EXCEL;UGEL CUSCO;0782722;CETPRO;;;;
442;05979481;ORDESO;UGEL CUSCO;0591818;EBR INICIAL;;;;
443;06120441;RAYITO DE SOL;UGEL CUSCO;0927988;EBR INICIAL;;;;
444;02629070;456;UGEL CUSCO;0565358;EBR INICIAL;;;;
;;;;0405191;EBR PRIMARIA;;;;
;;;;0730481;EBR SECUNDARIA;;;;
445;05475473;LA CASITA DE CARTON;UGEL CUSCO;1266345;EBR INICIAL;;;;
446;06661645;URPI WASI;UGEL CUSCO;0928283;EBR INICIAL;;;;
;;;;1386572;EBR PRIMARIA;;;;
447;02822288;51061;UGEL CUSCO;0647230;EBR PRIMARIA;;;;
448;00718947;148 LOS INCAS;UGEL CUSCO;0520650;EBR INICIAL;;;;
449;05540550;LEANDRO ALVI¥A;UGEL CUSCO;0285973;ESFA;;;;
450;04212551;88;UGEL CUSCO;0403626;EBR INICIAL;;;;
451;05537436;LATINOAMERICANA DE ESPAÑOL;UGEL CUSCO;1700129;CETPRO;;;;
452;01331329;50501  DE CHOQUEPATA;UGEL CUSCO;0731190;EBR INICIAL;;;;
;;;;0409763;EBR PRIMARIA;;;;
453;00845094;162 DE SANTA ANA;UGEL CUSCO;0730911;EBR INICIAL;;;;
454;02621886;450;UGEL CUSCO;0616060;EBR INICIAL;;;;
455;04200349;87;UGEL CUSCO;0403618;EBR INICIAL;;;;
456;06130186;REINA DE LOS CIELOS;UGEL CUSCO;1386689;EBR INICIAL;;;;
457;04843525;DATASYS;UGEL CUSCO;1060417;CETPRO;;;;
458;05792010;MI RETOÑO;UGEL CUSCO;0927772;EBR INICIAL;;;;
459;02688131;50011;UGEL CUSCO;0404970;EBR PRIMARIA;;;;
460;05167655;DIDASCALIO CRISTO REY;UGEL CUSCO;0622563;CETPRO;;;;
;;;;1061407;IST;;;;
461;06357970;SAN PABLO;UGEL CUSCO;1062512;EBR INICIAL;;;;
;;;;1730712;EBR PRIMARIA;;;;
462;02690683;50048 LOS INCAS;UGEL CUSCO;0405324;EBR PRIMARIA;;;;
;;;;0785097;EBR SECUNDARIA;;;;
463;01568930;273;UGEL CUSCO;0731208;EBR INICIAL;;;;
464;04994264;ESITUR INTERNATIONAL;UGEL CUSCO;1386937;IST;;;;
465;03475751;700 PATRON DE SAN JERONIMO;UGEL CUSCO;0403980;EBR INICIAL;;;;
466;02763370;50482;UGEL CUSCO;0409573;EBR PRIMARIA;;;;
467;05985323;PABLO APOSTOL;UGEL CUSCO;1061316;EBR INICIAL;;;;
;;;;1061357;EBR PRIMARIA;;;;
;;;;1361740;EBR SECUNDARIA;;;;
468;02817829;51012 JULIO ALBERTO PONCE ANTUNEZ DE MAYOLO;UGEL CUSCO;1712694;EBR INICIAL;;;;
;;;;0206086;EBR PRIMARIA;;;;
469;01607960;293;UGEL CUSCO;0735043;EBR INICIAL;;;;
470;02689618;INCA RIPAQ;UGEL CUSCO;0405183;EBR PRIMARIA;;;;
;;;;0616185;EBR SECUNDARIA;;;;
471;02689200;50025 DANIEL ESTRADA PEREZ;UGEL CUSCO;0405100;EBR PRIMARIA;;;;
;;;;1386234;EBR SECUNDARIA;;;;
472;01328522;211;UGEL CUSCO;0731182;EBR INICIAL;;;;
473;02689952;50039;UGEL CUSCO;1615350;EBR INICIAL;;;;
;;;;0405233;EBR PRIMARIA;;;;
474;05212294;DE YANAMANCHI;UGEL CUSCO;1399401;EBR INICIAL;;;;
475;06287761;SAN JOSE;UGEL CUSCO;0625517;EBR INICIAL;;;;
;;;;0927632;EBR PRIMARIA;;;;
;;;;0933564;EBR SECUNDARIA;;;;
476;02386836;396;UGEL CUSCO;0927442;EBR INICIAL;;;;
477;02641011;465;UGEL CUSCO;0486597;EBR INICIAL;;;;
478;05903645;NORMA;UGEL CUSCO;1060318;CETPRO;;;;
479;05246113;ISAIAH BOWMAN SHANTS;UGEL CUSCO;1390053;EBR INICIAL;;;;
;;;;1390061;EBR PRIMARIA;;;;
;;;;1390079;EBR SECUNDARIA;;;;
480;02689537;50032 MIGUEL GRAU SEMINARIO;UGEL CUSCO;0405167;EBR PRIMARIA;;;;
;;;;0591131;EBR SECUNDARIA;;;;
481;02757354;50419;UGEL CUSCO;0408963;EBR PRIMARIA;;;;
482;02802971;50859;UGEL CUSCO;0234955;EBR PRIMARIA;;;;
483;05121035;HENRY FORD;UGEL CUSCO;1386630;CETPRO;;;;
484;01927248;325;UGEL CUSCO;0775460;EBR INICIAL;;;;
485;02811881;50949;UGEL CUSCO;0586065;EBR PRIMARIA;;;;
486;04880498;DIVINO MAESTRO;UGEL CUSCO;0927301;EBR PRIMARIA;;;;
;;;;0928267;EBR SECUNDARIA;;;;
487;02687305;50006;UGEL CUSCO;1644087;EBR INICIAL;;;;
;;;;0404913;EBR PRIMARIA;;;;
488;06163750;ROSA GATTORNO;UGEL CUSCO;0927715;EBR INICIAL;;;;
489;04955722;EL PORVENIR;UGEL CUSCO;0285916;CETPRO;;;;
490;04950283;EL NI¥O INVESTIGADOR KUSKIQ ERQE;UGEL CUSCO;1386507;EBR INICIAL;;;;
491;04950283;EL NI¥O INVESTIGADOR KUSKIQ ERQE;UGEL CUSCO;1378652;EBR PRIMARIA;;;;
492;06848605;BILINGUE MANUEL PARDO Y LAVALLE;UGEL CUSCO;1731546;EBR SECUNDARIA;;;;
493;05784271;MI PEQUEÑO MUNDO;UGEL CUSCO;0785006;EBR INICIAL;;;;
;;;;1656826;EBR PRIMARIA;;;;
494;06437753;SANTA MONICA;UGEL CUSCO;1386754;EBR INICIAL;;;;
495;05412013;JUAN BOSCO;UGEL CUSCO;1269141;EBR PRIMARIA;;;;
;;;;1269182;EBR SECUNDARIA;;;;
496;04315103;980;UGEL CUSCO;1615327;EBR INICIAL;;;;
497;06305741;SAN JUAN DE DIOS;UGEL CUSCO;0927921;EBR INICIAL;;;;
;;;;0927368;EBR PRIMARIA;;;;
;;;;1201623;EBR SECUNDARIA;;;;
498;02245760;369;UGEL CUSCO;0785030;EBR INICIAL;;;;
499;06662064;URPICHA KIDS;UGEL CUSCO;1386705;EBR INICIAL;;;;
500;04927109;EL BUEN PASTOR;UGEL CUSCO;0928341;EBR INICIAL;;;;
501;06394353;SANTA BERNARDITA;UGEL CUSCO;0928044;EBR INICIAL;;;;
;;;;0818344;EBR PRIMARIA;;;;
;;;;1060334;EBR SECUNDARIA;;;;
502;06065414;PLAY AND GROW;UGEL CUSCO;1387364;EBR INICIAL;;;;
503;00548091;1198;UGEL CUSCO;1643949;EBR INICIAL;;;;
504;05123356;HERMANOS GRIMM;UGEL CUSCO;0927749;EBR INICIAL;;;;
;;;;1699719;EBR PRIMARIA;;;;
505;06495257;SANTO DOMINGO;UGEL CUSCO;0927657;EBR INICIAL;;;;
506;06571220;SOR ANA DE LOS ANGELES;UGEL CUSCO;0818005;EBR PRIMARIA;;;;
;;;;0928143;EBR SECUNDARIA;;;;
507;06571220;SOR ANA DE LOS ANGELES;UGEL CUSCO;1387216;EBR INICIAL;;;;
508;06468284;SANTA URSULA;UGEL CUSCO;1061290;EBR PRIMARIA;;;;
